Player,Team,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Austin Hooper,CLE,51.4,634.5,4.1,0.0,88.1
Dallas Goedert,PHI,52.8,591.3,4.0,0.0,83.0
Ian Thomas,CAR,44.8,445.9,3.3,0.0,64.4
Ricky Seals-Jones,KC,19.3,231.4,1.5,0.0,32.4
Jordan Reed,SF,30.5,339.8,1.9,0.0,45.3
Jaeden Graham,ATL,,,,,
Devin Asiasi,NE,39.3,383.5,2.7,0.0,54.8
O.J. Howard,TB,26.9,397.9,2.3,0.0,53.6
Jonnu Smith,TEN,38.2,449.7,3.4,0.0,67.6
Logan Thomas,WAS,23.1,224.2,1.7,0.0,32.7
Eric Ebron,PIT,52.1,567.1,3.7,0.0,79.1
Jacob Hollister,SEA,29.4,333.4,1.9,0.0,45.0
Jace Sternberger,GB,26.7,245.6,2.2,0.0,38.0
Rob Gronkowski,TB,47.3,615.1,3.7,0.0,84.0
Mark Andrews,BAL,61.9,818.3,6.8,0.0,122.7
C.J. Uzomah,CIN,36.9,336.2,2.6,0.0,49.4
Dalton Schultz,DAL,,,,,
Nick Boyle,BAL,30.1,291.2,1.9,0.0,40.7
Noah Fant,DEN,45.7,561.9,4.1,0.0,83.3
Travis Kelce,KC,87.4,"1,095.8",7.8,0.0,159.2
Dan Arnold,ARI,33.0,408.3,2.8,0.0,57.7
Jordan Akins,HOU,25.1,267.4,1.6,0.0,36.5
T.J. Hockenson,DET,47.5,523.8,2.9,0.0,70.0
Will Dissly,SEA,21.0,290.9,2.2,0.0,43.3
Jason Witten,LV,,,,,
Jared Cook,NO,54.7,750.0,6.6,0.0,114.6
Evan Engram,NYG,66.7,758.6,4.7,0.0,108.6
Greg Olsen,SEA,31.8,389.4,2.3,0.0,52.9
Jeremy Sprinkle,WAS,,,,,
Tyler Eifert,JAC,45.1,598.5,3.5,0.0,81.0
Dawson Knox,BUF,30.3,413.9,2.5,0.0,56.6
Robert Tonyan,GB,,,,,
Drew Sample,CIN,,,,,
Mike Gesicki,MIA,49.4,586.6,4.1,0.0,83.4
Anthony Firkser,TEN,17.7,253.7,1.6,0.0,35.2
Tyler Kroft,BUF,,,,,
David Njoku,CLE,30.6,359.1,2.5,0.0,50.7
Hunter Henry,LAC,56.6,706.9,5.1,0.0,101.6
Nick Vannett,DEN,,,,0.0,
Darren Waller,LV,69.6,831.8,5.2,0.0,115.7
Cole Kmet,CHI,21.4,219.1,1.6,0.0,31.5
Marcedes Lewis,GB,,,,,
James O'Shaughnessy,JAC,21.3,218.0,1.5,0.0,30.7
George Kittle,SF,90.0,939.7,5.7,0.0,131.6
Tyler Higbee,LAR,69.8,821.5,4.4,0.0,108.9
Kyle Rudolph,MIN,36.4,387.0,3.0,0.0,57.0
Darren Fells,HOU,37.6,396.5,3.2,0.0,58.9
Irv Smith Jr.,MIN,33.6,325.7,2.3,0.0,46.2
Chris Manhertz,CAR,,,,,
Jack Doyle,IND,57.3,569.8,3.7,0.0,79.3
Chris Herndon IV,NYJ,43.6,557.9,3.4,0.0,76.5
Virgil Green,LAC,,,,,
Gerald Everett,LAR,30.1,351.8,2.1,0.0,48.2
Foster Moreau,LV,,,,,
Jesse James,DET,,,,,
Zach Ertz,PHI,81.9,962.5,6.4,0.0,135.0
Cameron Brate,TB,20.2,225.3,1.2,0.0,29.9
Demetrius Harris,CHI,,,,,
Maxx Williams,ARI,,,,,
Kaden Smith,NYG,,,,,
Ryan Griffin,NYJ,25.3,269.9,1.9,0.0,38.4
Mo Alie-Cox,IND,,,,,
Jimmy Graham,CHI,37.5,433.7,2.0,0.0,55.8
Blake Jarwin,DAL,42.7,475.8,2.6,0.0,63.1
Josh Hill,NO,25.2,220.7,1.5,0.0,31.4
Hayden Hurst,ATL,47.3,522.8,3.8,0.0,75.0
Vance McDonald,PIT,34.2,282.2,1.9,0.0,39.7
Levine Toilolo,NYG,,,,0.0,
Trey Burton,IND,,,,,
