Player,Team,FG,FGA,XPT,FPoints
Jason Sanders,MIA,26.5,,30.3,109.7
Austin Seibert,CIN,25.2,,35.1,110.7
Sam Sloman,TEN,22.3,,27.8,94.6
Younghoe Koo,ATL,23.8,,37.5,108.7
Brandon McManus,DEN,23.7,,35.9,107.0
Mason Crosby,GB,22.6,,40.5,108.2
Graham Gano,NYG,21.6,,36.2,100.9
Jason Myers,SEA,26.3,,32.8,111.8
Wil Lutz,NO,22.9,,42.0,110.8
Zane Gonzalez,ARI,22.3,,32.0,98.9
Stephen Gostkowski,TEN,23.0,,41.2,110.1
Jake Elliott,PHI,27.0,,30.7,111.7
Dan Bailey,MIN,22.8,,34.1,102.5
Tyler Bass,BUF,21.9,,29.2,94.8
Ka'imi Fairbairn,HOU,22.1,,29.3,95.5
Dustin Hopkins,WAS,22.3,,25.1,91.9
Josh Lambo,JAC,22.5,,33.8,101.3
Harrison Butker,KC,24.2,,40.6,113.3
Randy Bullock,CIN,29.9,,24.9,114.7
Justin Tucker,BAL,24.4,,39.5,112.8
Joey Slye,CAR,24.0,,32.8,104.6
Sam Ficken,NYJ,23.9,,33.7,105.4
Rodrigo Blankenship,IND,22.8,,34.1,102.6
Eddy Pineiro,CHI,,,,
Robbie Gould,SF,26.7,,41.8,121.8
Chris Boswell,PIT,25.0,,30.9,105.8
Matt Prater,DET,23.4,,33.0,103.3
Ryan Succop,TB,24.0,,28.2,100.2
Greg Zuerlein,DAL,22.1,,39.3,105.5
Michael Badgley,LAC,24.9,,28.6,103.2
Daniel Carlson,LV,25.6,,41.9,118.7
